형태소,품사,분류,카운트,상대빈도,시각화용,,,
DongHoon,Alpha,교촌 전,1,,DongHoon ,,,
Drama,Alpha,교촌 전,1,,Drama ,,,
Dream,Alpha,교촌 전,1,,Dream ,,,
Duke,Alpha,교촌 전,1,,Duke ,,,
Dunn,Alpha,교촌 전,1,,Dunn ,,,
Dylan,Alpha,교촌 전,1,,Dylan ,,,
Dzxc,Alpha,교촌 전,1,,Dzxc ,,,
E,Alpha,교촌 전,1,,E ,,,
E,Alpha,교촌 전,1,,E ,,,
EASY,Alpha,교촌 전,1,,EASY ,,,
EE,Alpha,교촌 전,1,,EE ,,,
EP,Alpha,교촌 전,1,,EP ,,,
EP,Alpha,교촌 전,1,,EP ,,,
ER,Alpha,교촌 전,1,,ER ,,,
ERAS,Alpha,교촌 전,1,,ERAS ,,,
EUN,Alpha,교촌 전,1,,EUN ,,,
EX,Alpha,교촌 전,1,,EX ,,,
Ed,Alpha,교촌 전,1,,Ed ,,,
Edgar,Alpha,교촌 전,1,,Edgar ,,,
Ee,Alpha,교촌 전,1,,Ee ,,,
Eee,Alpha,교촌 전,1,,Eee ,,,
Elice,Alpha,교촌 전,1,,Elice ,,,
En,Alpha,교촌 전,1,,En ,,,
Enter,Alpha,교촌 전,1,,Enter ,,,
Ep,Alpha,교촌 전,1,,Ep ,,,
Errorcode,Alpha,교촌 전,1,,Errorcode ,,,
Erwin,Alpha,교촌 전,1,,Erwin ,,,
Every,Alpha,교촌 전,1,,Every ,,,
Eye,Alpha,교촌 전,1,,Eye ,,,
Eyo,Alpha,교촌 전,1,,Eyo ,,,
FAMILY,Alpha,교촌 전,1,,FAMILY ,,,
FC,Alpha,교촌 전,1,,FC ,,,
FF,Alpha,교촌 전,1,,FF ,,,
FIRST,Alpha,교촌 전,1,,FIRST ,,,
FOOD,Alpha,교촌 전,1,,FOOD ,,,
FRIED,Alpha,교촌 전,1,,FRIED ,,,
FUCKING,Alpha,교촌 전,1,,FUCKING ,,,
FUxxTUBE,Alpha,교촌 전,1,,FUxxTUBE ,,,
FlyJT,Alpha,교촌 전,1,,FlyJT ,,,
Food,Alpha,교촌 전,1,,Food ,,,
Free,Alpha,교촌 전,1,,Free ,,,
FreeSoul,Alpha,교촌 전,1,,FreeSoul ,,,
Fried,Alpha,교촌 전,2,,Fried Fried ,,,
Fried,Alpha,교촌 전,2,,Fried Fried ,,,
G,Alpha,교촌 전,2,,G G ,,,
G,Alpha,교촌 전,1,,G ,,,
GAMDYO,Alpha,교촌 전,1,,GAMDYO ,,,
GAME,Alpha,교촌 전,1,,GAME ,,,
GAME,Alpha,교촌 전,1,,GAME ,,,
GM,Alpha,교촌 전,1,,GM ,,,
GOOD,Alpha,교촌 전,1,,GOOD ,,,
GOOD,Alpha,교촌 전,1,,GOOD ,,,
GRAViTYGUN,Alpha,교촌 전,1,,GRAViTYGUN ,,,
GTA,Alpha,교촌 전,1,,GTA ,,,
GUNDAY,Alpha,교촌 전,1,,GUNDAY ,,,
Gaming,Alpha,교촌 전,1,,Gaming ,,,
Germany,Alpha,교촌 전,1,,Germany ,,,
Ggee,Alpha,교촌 전,1,,Ggee ,,,
Gi,Alpha,교촌 전,1,,Gi ,,,
Giseong,Alpha,교촌 전,1,,Giseong ,,,
Glock,Alpha,교촌 전,1,,Glock ,,,
Gman,Alpha,교촌 전,1,,Gman ,,,
Go,Alpha,교촌 전,1,,Go ,,,
God,Alpha,교촌 전,1,,God ,,,
Golden,Alpha,교촌 전,1,,Golden ,,,
Golden,Alpha,교촌 전,1,,Golden ,,,
Goo,Alpha,교촌 전,1,,Goo ,,,
Gpd,Alpha,교촌 전,2,,Gpd Gpd ,,,
Guk,Alpha,교촌 전,1,,Guk ,,,
Guobaorou,Alpha,교촌 전,1,,Guobaorou ,,,
Gwak,Alpha,교촌 전,1,,Gwak ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
H,Alpha,교촌 전,1,,H ,,,
HAAN,Alpha,교촌 전,1,,HAAN ,,,
HANMONO,Alpha,교촌 전,1,,HANMONO ,,,
HI,Alpha,교촌 전,1,,HI ,,,
HONG,Alpha,교촌 전,2,,HONG HONG ,,,
HR,Alpha,교촌 전,1,,HR ,,,
HS,Alpha,교촌 전,1,,HS ,,,
HYO,Alpha,교촌 전,1,,HYO ,,,
Ha,Alpha,교촌 전,1,,Ha ,,,
Hahaha,Alpha,교촌 전,1,,Hahaha ,,,
Han,Alpha,교촌 전,1,,Han ,,,
