형태소,품사,분류,카운트,상대빈도,시각화용,,,
Erwin,Alpha,교촌 전,1,0.00143%,Erwin ,,,
Every,Alpha,교촌 전,1,0.00143%,Every ,,,
Eye,Alpha,교촌 전,1,0.00143%,Eye ,,,
Eyo,Alpha,교촌 전,1,0.00143%,Eyo ,,,
FAMILY,Alpha,교촌 전,1,0.00143%,FAMILY ,,,
FC,Alpha,교촌 전,1,0.00143%,FC ,,,
FF,Alpha,교촌 전,1,0.00143%,FF ,,,
FIRST,Alpha,교촌 전,1,0.00143%,FIRST ,,,
FOOD,Alpha,교촌 전,1,0.00143%,FOOD ,,,
FRIED,Alpha,교촌 전,1,0.00143%,FRIED ,,,
FUCKING,Alpha,교촌 전,1,0.00143%,FUCKING ,,,
FUxxTUBE,Alpha,교촌 전,1,0.00143%,FUxxTUBE ,,,
FlyJT,Alpha,교촌 전,1,0.00143%,FlyJT ,,,
Food,Alpha,교촌 전,1,0.00143%,Food ,,,
Free,Alpha,교촌 전,1,0.00143%,Free ,,,
FreeSoul,Alpha,교촌 전,1,0.00143%,FreeSoul ,,,
Fried,Alpha,교촌 전,2,0.00143%,Fried Fried ,,,
Fried,Alpha,교촌 전,2,0.00143%,Fried Fried ,,,
G,Alpha,교촌 전,2,0.00143%,G G ,,,
G,Alpha,교촌 전,1,0.00143%,G ,,,
GAMDYO,Alpha,교촌 전,1,0.00143%,GAMDYO ,,,
GAME,Alpha,교촌 전,1,0.00143%,GAME ,,,
GAME,Alpha,교촌 전,1,0.00143%,GAME ,,,
GM,Alpha,교촌 전,1,0.00143%,GM ,,,
GOOD,Alpha,교촌 전,1,0.00143%,GOOD ,,,
GOOD,Alpha,교촌 전,1,0.00143%,GOOD ,,,
GRAViTYGUN,Alpha,교촌 전,1,0.00143%,GRAViTYGUN ,,,
GTA,Alpha,교촌 전,1,0.00143%,GTA ,,,
GUNDAY,Alpha,교촌 전,1,0.00143%,GUNDAY ,,,
Gaming,Alpha,교촌 전,1,0.00143%,Gaming ,,,
Germany,Alpha,교촌 전,1,0.00143%,Germany ,,,
Ggee,Alpha,교촌 전,1,0.00143%,Ggee ,,,
Gi,Alpha,교촌 전,1,0.00143%,Gi ,,,
Giseong,Alpha,교촌 전,1,0.00143%,Giseong ,,,
Glock,Alpha,교촌 전,1,0.00143%,Glock ,,,
Gman,Alpha,교촌 전,1,0.00143%,Gman ,,,
Go,Alpha,교촌 전,1,0.00143%,Go ,,,
God,Alpha,교촌 전,1,0.00143%,God ,,,
Golden,Alpha,교촌 전,1,0.00143%,Golden ,,,
Golden,Alpha,교촌 전,1,0.00143%,Golden ,,,
Goo,Alpha,교촌 전,1,0.00143%,Goo ,,,
Gpd,Alpha,교촌 전,2,0.00143%,Gpd Gpd ,,,
Guk,Alpha,교촌 전,1,0.00143%,Guk ,,,
Guobaorou,Alpha,교촌 전,1,0.00143%,Guobaorou ,,,
Gwak,Alpha,교촌 전,1,0.00143%,Gwak ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
H,Alpha,교촌 전,1,0.00143%,H ,,,
HAAN,Alpha,교촌 전,1,0.00143%,HAAN ,,,
HANMONO,Alpha,교촌 전,1,0.00143%,HANMONO ,,,
HI,Alpha,교촌 전,1,0.00143%,HI ,,,
HONG,Alpha,교촌 전,2,0.00143%,HONG HONG ,,,
HR,Alpha,교촌 전,1,0.00143%,HR ,,,
HS,Alpha,교촌 전,1,0.00143%,HS ,,,
HYO,Alpha,교촌 전,1,0.00143%,HYO ,,,
Ha,Alpha,교촌 전,1,0.00143%,Ha ,,,
Hahaha,Alpha,교촌 전,1,0.00143%,Hahaha ,,,
Han,Alpha,교촌 전,1,0.00143%,Han ,,,
Han,Alpha,교촌 전,1,0.00143%,Han ,,,
HanaiStory,Alpha,교촌 전,1,0.00143%,HanaiStory ,,,
Hanley,Alpha,교촌 전,1,0.00143%,Hanley ,,,
Harru,Alpha,교촌 전,1,0.00143%,Harru ,,,
Harry,Alpha,교촌 전,1,0.00143%,Harry ,,,
HayanTree,Alpha,교촌 전,1,0.00143%,HayanTree ,,,
HayanTree,Alpha,교촌 전,1,0.00143%,HayanTree ,,,
HayanTree,Alpha,교촌 전,1,0.00143%,HayanTree ,,,
HayanTree,Alpha,교촌 전,3,0.00143%,HayanTree HayanTree HayanTree ,,,
HayanTree,Alpha,교촌 전,1,0.00143%,HayanTree ,,,
