,comment
10,"you have an amazing video.. 
love your hair hehe.. 
i like the sound makes me feel hungry ..
i love all chicken parts haha lol.."
11,"헤어스타일 곱다고와..
닭껍데기 튀김이야???!에 뿜음
😁😁😄"
12,"Hi cutie, love your hair."
13,Hi❤❤❤❤❤
14,"오우 지져쓰!! 머리가 예수님 머리네요ㅋㅋ
다까슴살이 왜케 많대요..  좀 에반데..
다른데서 보니까 치킨텐더(속안심)를 반으로 잘라서 따로 튀겨 순살처럼 보이게 하는것 같은 의심섞인 정황도 있더라고요
하나하나 짝을 찾아서 이어놨는데 절단면부분이 기가막히게 들어맞더라는ㅡㅡ"
15,Awesome mukbang 👌😋 hey new friend here stay connected 😍
16,Is this Korean fried chicken? 😁
17,소리가 맛있게 들려서 그런지 ㅠ_ㅠ 보기엔 맛있어보여요 ㅋㅋㅋ 근데 다 뻑살이면 짜증 나실만 하네요..
18,"천명 축하드려요~~드디어 빛을 보시네요!
조회수도 어마어마! 😆 꽃길만 걸으세요~~"
19,"As caretas que você faz enquanto come são um mistério porque eu nunca consigo saber se a comida ta muito boa ou pura porcaria e como não entendo nada oq você diz fica difícil e eu crio mil teorias na cabeça. Adoro isso, nota 10 vídeo perfeito
Cabelo nota 1000 achei chique"
20,"Omg haha awesome hair!!
Subscribed!"
21,근데 비비큐 너무 퍽퍽하다ㅋㅋㅋㅋㅋㅋㅋㅋ
22,يبدو لذيذذذذذذ❤️😍
23,Wow sjs you look so different!  Nice hair!!  You famous
24,와 천명넘었어 ㅋㅋㅋㅊㅋㅊㅋ해 금방천명되네ㅋㅋㅋ굳굳굳
25,تعرف تتكلم عربي
26,OMG! You changed hair colour! :P Yayyyy!! I love drumsticks.And that one looks like sweet and sour pork. I love sweet and sour pork too. Hahaha. 😅That taste spicy and crispy fried chicken. Great meal. Enjoy your drumsticks and see u next time.
27,재밌어요ㅎㅎㅎ 좀전에 저도 시켜서 3조각먹고 다 남았네요. 짜고 퍽퍽 헝ㅠ 비비큐 잘안시키지만 다신 안시킬거같아요. 우리동네는 배달로 3천원.. 머리가 예수님이래~~ 웃고가요ㅋ
28,اقسم بالله مجنون الي معي يحط لايك
29,우왕 천명츄카츄카🌹🌹🎉🎉🎉🎉
30,"ㅎㅎㅎㅎㅎ 예수머리 하고싶다더니..
어디서구했어요~ 색깔 이쁘네...😍😍
닭은 모르겠고..ㅋㅋㅋ
근데 순살은 원래 닭한마리 살만떼낸거아닌가?  다리살은 다리만시켜야죵~"
31,"퍽퍽한닭가슴살이 많네용!!
순살먹어보려고했는데 시켜먹지말아야겠네용😁"
32,"ahhh thanks for the video !!
always look forward to it 🥳
omg the wig  😂😂😂😂😂😂🤡but it does suit you though 🥴💕💕😂😂aghhhj the food looks sooooo good (as always lol) 🤧🤧😩😩😩i love spicy chicken 😔i don’t really know much korean so couldn’t really understand what u were saying but it was still funny and enjoyable 😌😌😌😌🤧🤧🤧🤧👌which chicken is ur favourite ??"
33,"이거먹으려그했는데.ㅎㅎ 안먹어야겠다!!
근데 혹시 스즈스닝 동네가 맛이없는거아니겠죠?🤔ㅎㅎ
저희동네 비비큐는통닭은맛나는데 치즈볼에서 밀가루엄청나든데!!
가발은어서나셨어요.? 중세시대 요리사가 머리풀어해치고 시식하는것같아요.너무웃김❤"
34,비비큐만 먹는데 순살은 다리살 안써요 닭가슴살이에요 안심텐더 빼고 ㅋㅋ 저는 퍽퍽살 좋아해서 비비큐 좋아하지만ㅠ 퍽살 싫어하시는분들은 처갓집쪽이 좋을거에요
35,CONGRATS  for reaching 1k + yeeey!!!You have great contents and so entertaining and so much fun. Wishing you more success. ....I don't like chicken breast either😦  I like the drumstick and the wings. Sounds awesome though. And  I see you have new look today 😁
36,"와아 치킨 진짜 먹고싶어요. 
소리는 넘좋고 맛있어보이는데... 퍽퍽한 닭가슴살이 많군요 ㅜㅜ 아쉽네요. 
뭐야 이건 닭껍데기튀김이야? 닭껍데기튀김? ㅋㅋㅋㅋㅋㅋ
그나저나 스즈스님 가발 귀여우세요 ㅋㅋ 양념치킨이랑 머리색깔 맞추셨네요 ㅋㅋㅋ"
37,"이건뭐여 닭껍데기 튀김이여??에서 빵터졌어욬ㅋㅋㅋ
화나면 사투리 나오시는분...ㅋㅋ
그나저나 머리가 뭐시여요?
신박한데요?ㅋㅋㅋㅋ "
38,저도 그래서 안시켜먹어용
39,나는 닭가슴살 이 좋던디
40,비비큐 요즘 ...왜그런다야 ㅎㅎㅎ가격도 비싼데 다리살좀 마니넣어줄것이지 ㅎ
41,진짜 개노맛임 퍽살존내많음 진짜 배달료까지해서 23000원 길가다가 잃어버렸다 생각함 욕이 저절로 티나옴 내가  맥시카나 신호등에 이어 역대급으로 쳐잘못시킨 치킨이었음 저거 한마리 다먹을려면 치킨무 두개에 콜라 1.5리터는 있어야된다 그전에 물려서 못먹을듯하지만
42,مجنون
43,
